Tool:	elog
Version:	2.0
Date:	2025-07-03 14:03:47
System Name:	C:/Users/DELL/OneDrive/Máy tính/Gofa_caffe_1/Virtual Controllers/CRB15000_5_95
RobotWare:	7.18.1
RobotControl:	7.18.1
Controller Name:	CRB15000_5_95
Controller Id:	VIRTUAL_CONTROLLER



Common log messages
SeqNo     	Type	Category            	Code    	Title     	Date                		Description		Arguments	
188       	I		Common              	10011   	<title>   	1970-01-01 07:01:30:079026	<description>	
187       	I		Common              	10400   	<title>   	1970-01-01 07:01:29:217002	<description>	{args: "Admin", "RobAPI2-Client"}
186       	I		Common              	10400   	<title>   	1970-01-01 07:01:29:170002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
185       	I		Common              	10150   	<title>   	1970-01-01 07:01:27:180224	<description>	{args: "1", "SC_CBC"}
184       	I		Common              	10150   	<title>   	1970-01-01 07:01:27:180211	<description>	{args: "3", "T_GOFA_LED"}
183       	I		Common              	10129   	<title>   	1970-01-01 07:01:27:180200	<description>	{args: "3", "T_GOFA_LED", "9"}
182       	I		Common              	10129   	<title>   	1970-01-01 07:01:27:180173	<description>	{args: "2", "T_ROB1", "9"}
181       	I		Common              	10150   	<title>   	1970-01-01 07:01:27:180146	<description>	{args: "3", "T_GOFA_LED"}
180       	I		Common              	10155   	<title>   	1970-01-01 07:01:27:180138	<description>	{args: "2", "T_ROB1"}
179       	I		Common              	10002   	<title>   	1970-01-01 07:01:27:180125	<description>	{args: "3", "0", "T_GOFA_LED"}
178       	I		Common              	10002   	<title>   	1970-01-01 07:01:27:180092	<description>	{args: "1", "0", "SC_CBC"}
177       	W		Common              	40210   	<title>   	1970-01-01 07:01:27:180071	<description>	{args: "T_GOFA_LED"}
176       	I		Common              	10017   	<title>   	1970-01-01 07:01:27:180037	<description>	
175       	I		Common              	10010   	<title>   	1970-01-01 07:01:27:180010	<description>	
174       	W		Common              	90526   	<title>   	1970-01-01 07:01:26:747001	<description>	
173       	I		Common              	10045   	<title>   	1970-01-01 07:00:00:042013	<description>	
172       	I		Common              	10056   	<title>   	1970-01-01 07:02:08:996002	<description>	
171       	I		Common              	10401   	<title>   	1970-01-01 07:02:08:488013	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
170       	I		Common              	10401   	<title>   	1970-01-01 07:02:08:488000	<description>	{args: "Admin", "RobAPI2-Client"}
169       	W		Common              	90526   	<title>   	1970-01-01 07:01:33:669001	<description>	
168       	I		Common              	10010   	<title>   	1970-01-01 07:01:32:829023	<description>	
167       	E		Common              	90867   	<title>   	1970-01-01 07:01:32:801011	<description>	
166       	I		Common              	10012   	<title>   	1970-01-01 07:01:29:677079	<description>	
165       	I		Common              	10010   	<title>   	1970-01-01 07:01:29:677057	<description>	
164       	I		Common              	10011   	<title>   	1970-01-01 07:01:29:677026	<description>	
163       	I		Common              	10400   	<title>   	1970-01-01 07:01:28:799002	<description>	{args: "Admin", "RobAPI2-Client"}
162       	I		Common              	10400   	<title>   	1970-01-01 07:01:28:754002	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
161       	I		Common              	10150   	<title>   	1970-01-01 07:01:26:778224	<description>	{args: "1", "SC_CBC"}
160       	I		Common              	10150   	<title>   	1970-01-01 07:01:26:778211	<description>	{args: "3", "T_GOFA_LED"}
159       	I		Common              	10129   	<title>   	1970-01-01 07:01:26:778200	<description>	{args: "3", "T_GOFA_LED", "9"}
158       	I		Common              	10129   	<title>   	1970-01-01 07:01:26:778173	<description>	{args: "2", "T_ROB1", "9"}
157       	I		Common              	10150   	<title>   	1970-01-01 07:01:26:778146	<description>	{args: "3", "T_GOFA_LED"}
156       	I		Common              	10155   	<title>   	1970-01-01 07:01:26:778138	<description>	{args: "2", "T_ROB1"}
155       	I		Common              	10002   	<title>   	1970-01-01 07:01:26:778125	<description>	{args: "3", "0", "T_GOFA_LED"}
154       	I		Common              	10002   	<title>   	1970-01-01 07:01:26:778116	<description>	{args: "1", "0", "SC_CBC"}
153       	W		Common              	40210   	<title>   	1970-01-01 07:01:26:778107	<description>	{args: "T_GOFA_LED"}
152       	I		Common              	10017   	<title>   	1970-01-01 07:01:26:778037	<description>	
151       	I		Common              	10010   	<title>   	1970-01-01 07:01:26:778010	<description>	
150       	W		Common              	90526   	<title>   	1970-01-01 07:01:26:345001	<description>	
149       	I		Common              	10045   	<title>   	1970-01-01 07:00:00:024013	<description>	
148       	I		Common              	10056   	<title>   	1970-01-01 07:01:36:201002	<description>	
147       	I		Common              	10401   	<title>   	1970-01-01 07:01:36:201004	<description>	{args: "Admin (DELL)", "RobotStudio@DESKTOP-G8ELRFG"}
146       	W		Common              	90526   	<title>   	1970-01-01 07:01:33:366001	<description>	
145       	E		Common              	90867   	<title>   	1970-01-01 07:01:32:546007	<description>	
144       	I		Common              	10017   	<title>   	1970-01-01 07:01:30:681061	<description>	
143       	I		Common              	10010   	<title>   	1970-01-01 07:01:30:681042	<description>	
